Name,Product Type,Description,Top Notes,Middle Notes,Base Notes
"Black Oud","Perfume","Black Oud-Unisex - 50ML. Rich, Warm, Smoky. Indulge in a seductive blend of velvet rose, rich oud, and mysterious leather. This opulent fragrance is a captivating statement for unforgettable evenings.","Rose, Saffron, Labdanum, Leather","Oud, Sandalwood, Amber","Patchouli, Musk"
"Cherry Noir","Perfume","Cherry Noir - Unisex - 50ML. Sweet, Fruity, Woody. Cherry Noir is a captivating fragrance that evokes the essence of midnight in bloom. A modern interpretation of classic allure, this scent is a seductive blend of dark fruit and intoxicating florals.","Bitter almond, Black cherry","Plum, Turkish rose, Jasmine, Sour Cherry","Tonka bean, Vanilla, Cinnamon, Sandalwood, Cloves, Patchouli, Vetiver"
"Empress Charm","Perfume","Empress Charm-Womens-50ML. Fruity, Floral, Modern. A vibrant blend of blackcurrant, citrus, and opulent rose. This captivating fragrance unfolds into a warm, sensual base of vanilla, patchouli, and sandalwood. A timeless scent for any occasion. Perfect for day or night, Empress' Charm leaves a lasting impression.","Blackcurrant Nectar, Bergamot, Mandarin Orange","Rose de Mai, Freesia, Jasmine","Vanilla, Patchouli, Sandalwood, Amberwood"
"Lychee Sunset","Perfume","Lychee Sunset - Unisex - 50ML. Fruity, Exoctic, Fresh. Bask in the glow of Lychee Sunset, a scent where bright lime and lychee meet soft lotus and magnolia, unfolding into warm notes of tea, sandalwood, and amber. An exotic blend that lingers like a perfect sunset.","Lime, Bergamot, Lychee, Grapefruit","Lotus, Magnolia, Orange Blossom","Tea, Sandalwood, Amber"
"Magnolia Magic","Perfume","Magnolia Magic-Womens-50ML. Citrusy, Floral, Musky. Capture springtime in a bottle. Zesty orange and sweet pea burst into a floral heart of peony, rose, and peach. Finished with a soft musk, this fragrance is pure enchantment. Perfect for daytime wear, Magnolia Magic captures the essence of a springtime garden in full bloom.","Sicilian Orange, Sweet Pea","Pink Peony, Damask Rose, Apricot, Peach, Jasmine","White Musk"
"Millionaire Aura","Perfume","Millionaire Aura-Mens-50ML. Citrusy, Woody, Earthy. Unleash your inner tycoon. A rush of citrus and mint explodes into a fiery heart of cinnamon and rose. Finished with a seductive blend of amber, leather, and patchouli, this fragrance is pure power. Sophisticated and alluring, this complex fragrance is perfect for day or night.","Blood Orange, Grapefruit, Mint","Cinnamon, Rose","Amber, Leather, Indian Patchouli"
"Mystic Oud","Perfume","Mystic Oud-Mens - 50ML. Smokey, Woody, Luxurious. Embark on a sensory journey. This opulent fragrance blends exotic woods and spicy warmth. Rich oud is the heart of this captivating scent, surrounded by smoky, sensual notes. A final touch of sweet vanilla creates a truly unforgettable experience. Unique and sophisticated, Mystic Oud leaves a distinctive memory, day or night.","Rosewood, Cardamom, Chinese Pepper","Oud, Sandalwood, Vetiver","Tonka Bean, Vanilla, Amber"
"Oud Night","Perfume","Oud Night - Unisex - 50ML. Woody, Fruity, Floral. Unveil your nocturnal allure. Rich oud and zesty citrus ignite intrigue, leading to a heart of opulent rose and earthy patchouli. A smoky leather base with hints of wood and musk creates an unforgettable night-time enchantment. The Oud Night is perfect for evening or night, leaving a sophisticated and alluring impression.","Oud, Bergamot, Lemon","Moroccan Rose, Indonesian Patchouli Leaf","Leather, Sandalwood, Amber, Guaiac Wood, White Musk"
"Oudmazing","Perfume","Oudmazing - Unisex - 50ML. Exotic, Luxurious, Sweet. Unexpected luxury. Smoky oud meets juicy fruit in a bold opening. A sensual heart of jasmine and patchouli leads to a warm, leathery finish. This is oud redefined. Unique and alluring, Oudmazing leaves a sophisticated, unforgettable impression, day or night.","Oud, Fig, Pear, Sicilian Orange, Sicilian Bergamot","Patchouli Leaf, Orris, Egyptian Jasmine","Grapes, Madagascar Vanilla, Leather, White Musk"
"Peachy Paradise","Perfume","Peachy Paradise - Unisex - 50ML. Opulant, Fruity, Warm. A playful blend of peach and citrus leads to an intoxicating heart of rum and cognac, infused with honeyed sweetness and floral elegance. This sophisticated fragrance finishes with a warm, sensual base of patchouli, vanilla, and woodsy notes. This complex and sophisticated fragrance, with a touch of vibrancy, leaves a lasting impression, day or night.","Peach, Blood Orange, Cardamom","Jasmine","Indonesian Patchouli Leaf, Vanilla, Sandalwood, Tonka Bean, Labdanum, Vetiver"
"Smoke N Vanilla","Perfume","Smoke N Vanilla - Unisex-50ML. Smoky, Vanilla, Earthy. A vibrant blend of grapefruit and cardamom leads to a sophisticated heart of earthy vetiver. Finished with a creamy vanilla and tonka bean, this fragrance is a captivating contrast. Smoke N Vanilla is ideal for daytime wear or adding a touch of sophistication to evening occasions.","Grapefruit, Cardamom","Vetiver","Vanilla, Tonka Bean"
"Tobacco Spice","Perfume","Tobacco Spice - Unisex - 50ML. Addictive, Seductive, Spicy. Ignite your senses with a fiery blend of spice and smoke. A vibrant burst of citrus and pepper leads to a warm, exotic heart. Rich tobacco and leather create a powerful, sensual finish. This unique and complex fragrance, perfect day or night, leaves a lasting, alluring impression.","Pink Pepper, Elemi, Bergamot, Grapefruit","Cinnamon, Saffron, Paprika","Tobacco, Leather, Vetiver"
"Twilight","Perfume","Twilight - Unisex - 50ML. Fruity, Spicy, Sweet. A mesmerising blend of sweet and unexpected. Juicy pear and sparkling pepper lead to a captivating heart of coffee and jasmine. Finished with creamy vanilla and earthy woods, this fragrance is a twilight dream. This unique fragrance, perfect day or night, leaves a sophisticated and intriguing impression.","Pear, Pink Pepper, Orange Blossom","Coffee, Jasmine, Bitter Almond, Licorice","Vanilla, Patchouli, Cedar, Cashmere Wood"
"Velvet Rose & Oud","Perfume","Velvet Rose & Oud - Unisex - 50ML. Floral, Woody, Luxury. Indulge in opulence. Rich Turkish rose and spicy clove intertwine with a touch of praline. The heart reveals the depth of smoky oud and rose absolute. A luxurious base of amber, patchouli, and sandalwood completes this timeless masterpiece. Perfect day or night, leaves a sophisticated and enigmatic impression.","Turkish rose, clove, praline","Oud","Amber, patchouli, sandalwood"
"Black Oud Beard Oil","Beard Oil","Black Oud-Beard Oil-30ml. Elevate Your Beard to New Heights. Unlock a world of refined grooming with our Luxury Beard Oil. Benefits: Luxurious hydration, Deep conditioning, Healthy growth. Organic botanical blend: Jojoba, avocado, sweet almond, and apricot kernel oils. The 3% fragrance infusion is a carefully composed fragrance blend designed to create an aura of irresistible charm, leaving an indelible impression wherever you go.","Rose, Saffron, Labdanum, Leather","Oud, Sandalwood, Amber","Patchouli, Musk, Incense"
"Tobacco Spice Beard Oil","Beard Oil","Tobacco Spice - Beard Oil-30ml. Elevate Your Beard to New Heights. Unlock a world of refined grooming with our Luxury Beard Oil. Benefits: Luxurious hydration, Deep conditioning, Healthy growth. Organic botanical blend: Jojoba, avocado, sweet almond, and apricot kernel oils. The 3% fragrance infusion is a carefully composed fragrance blend designed to create an aura of irresistible charm, leaving an indelible impression wherever you go.","Pink Pepper, Elemi, Bergamot, Grapefruit","Cinnamon, Saffron, Paprika","Tobacco, Leather, Vetiver"
"Peachy Melody","Candle","Peachy Melody Crystal Infused Candle: A Symphony of Sweet Serenity. Unwind to a sweet symphony. This blissful blend of peachy perfection is infused with crystals for ultimate relaxation. Discover the beauty of Peachy Melody today.","Mango, peach, honey","Caramel, raspberry, sweet orange","Grapefruit, lemon"
"Oceanic Infusion","Candle","Oceanic Infusion Crystal Infused Candle: Dive into Tranquility. Escape to the seaside. This calming blend captures the ocean's serenity. Infused with genuine crystals.","Lemon, Citrus, Grape","Lavender, Lily of the Valley, Rose, Jasmine","Pollen Fragrance, Ocean Scent"
"Citrus Spice","Candle","Citrus Spice Crystal Infused Candle: A Zesty Elixir of Bliss. Ignite your senses with a zesty blend of citrus and warm spices. Infused with genuine crystals.","Citrus, Lemon, Bergamot","Orange blossom, Freesia, Lily, Ginger","Grass, Myrtle, Ambergris"
"Gardenia Dream","Candle","Gardenia Dream Crystal Infused Candle: A Fragrant Oasis of Tranquility. Immerse yourself in a blooming oasis. This enchanting blend captures the essence of a fragrant garden.","Gardenia, Ylang-Ylang, Mint","Lilac, White magnolia, Gardenia","Jasmine, Pine wood, Lily of the valley"